inci_name,display_name,function,is_active,fa_trigger,comedogenic,fragrance,eu_allergen,alcohol_type,pregnancy_caution,product_count
glyceryl acrylate acrylic acid copolymer,Glyceryl Acrylate/Acrylic Acid Copolymer,Film-former / humectant,0,1,,0,0,,0,38
salvia sclarea (clary sage) oil,Salvia Sclarea (Clary Sage) Oil,Fragrance / aromatic essential oil,0,1,,0,0,,0,7
capryloyl salicylic acid,Capryloyl Salicylic Acid,Exfoliant / keratolytic,1,,,0,0,,1,25
cymbopogon citratus leaf stem oil,Cymbopogon Citratus Leaf/Stem Oil,Fragrance/antimicrobial,0,1,,0,0,,0,1
citrus bergamia fruit oil,Citrus Bergamia Fruit Oil,Fragrance/essential oil,0,1,,0,0,,0,1
ocimum basilicum oil,Ocimum Basilicum Oil,Fragrance/antimicrobial,0,1,,0,0,,0,3
daucus carota (carrot seed) oil,Daucus Carota (Carrot Seed) Oil,Antioxidant / emollient,1,1,,0,0,,0,2
piper nigrum fruit oil,Piper Nigrum Fruit Oil,Fragrance/warming agent,0,1,,0,0,,0,1
polyglyceryl 4 olivate,Polyglyceryl-4 Olivate,Emulsifier/surfactant,0,1,,0,0,,0,13
citronellol,Citronellol,Fragrance ingredient,0,,,1,1,,0,161
geraniol,Geraniol,Fragrance/aroma compound,0,,,1,1,,0,170
linalool,Linalool,Fragrance/masking agent,0,,,1,1,,0,267
eugenol,Eugenol,Fragrance/flavoring agent,0,,,1,1,,0,39
limonene,Limonene,Fragrance/solvent,0,,,1,1,,0,251
potassium cocoate,Potassium Cocoate,Surfactant/cleansing agent,0,1,,0,0,,0,14
cananga odorata oil,Cananga Odorata Oil,Fragrance/essential oil,0,1,,0,0,,0,0
boswellia carteri oil,Boswellia Carteri Oil,Anti-inflammatory / fragrance,0,1,,0,0,,0,0
rosmarinus officinalis oil,Rosmarinus Officinalis Oil,Antioxidant / fragrance,0,1,,0,0,,0,0
camellia sinensis leaf oil,Camellia Sinensis Leaf Oil,Antioxidant / emollient,1,1,,0,0,,0,1
cetyl stearyl alcohol,Cetyl Stearyl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,1
glyceryl behenate,Glyceryl Behenate,Emollient/Co-emulsifier,0,1,,0,0,,0,14
citrus medica limonum (lemon) oil,Citrus Medica Limonum (Lemon) Oil,Fragrance / astringent,0,1,,0,0,,0,2
hydrogenated jojoba oil,Hydrogenated Jojoba Oil,Emollient / thickener,0,1,,0,0,,0,3
vanilla planifolia fruit oil,Vanilla Planifolia Fruit Oil,Fragrance/skin-conditioning,0,1,,0,0,,0,4
amygdalus dulcis (sweet almond) oil,Amygdalus Dulcis (Sweet Almond) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
leptospermum scoparium branch leaf oil,Leptospermum Scoparium Branch/Leaf Oil,Antimicrobial/fragrance,0,1,,0,0,,0,8
taraktogenos kurzii seed oil,Taraktogenos Kurzii Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
citrus paradisi seed oil,Citrus Paradisi Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,1
citrus sinensis oil,Citrus Sinensis Oil,Fragrance/skin-conditioning,0,1,,0,0,,0,2
citrus medica limonum oil,Citrus Medica Limonum Oil,Fragrance/essential oil,0,1,,0,0,,0,4
peg 150 pentaerythrityl tetrastearate,PEG-150 Pentaerythrityl Tetrastearate,Thickener / emulsifier,0,1,,0,0,,0,23
lactobacillus ferment,Lactobacillus Ferment,Probiotic-derived skin conditioning/soothing agent,1,1,,0,0,,0,37
saccharomyces cerevisiae extract,Saccharomyces Cerevisiae Extract,Skin-conditioning / antioxidant,1,1,,0,0,,0,11
bakuchiol oil,Bakuchiol Oil,Retinol alternative / antioxidant,1,1,,0,0,,0,0
rosmarinus officinalis leaf oil,Rosmarinus Officinalis Leaf Oil,Antioxidant / fragrance / antimicrobial,0,1,,0,0,,0,12
bifida ferment lysate,Bifida Ferment Lysate,Probiotic-derived skin conditioning agent,1,1,,0,0,,0,21
gossypium herbaceum seed oil,Gossypium Herbaceum Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,11
linum usitatissimum seed oil,Linum Usitatissimum Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,10
psoralea corylifolia seed oil,Psoralea Corylifolia Seed Oil,Antioxidant/skin-conditioning botanical (bakuchiol source),1,1,,0,0,,0,7
moringa oleifera (moringa) seed oil,Moringa Oleifera (Moringa) Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,2
rosmarinus officinalis (rosemary) leaf oil,Rosmarinus Officinalis (Rosemary) Leaf Oil,Antioxidant/fragrance,0,1,,0,0,,0,18
gossypium herbaceum (cotton) seed oil,Gossypium Herbaceum (Cotton) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,7
linum usitatissimum (linseed) seed oil,Linum Usitatissimum (Linseed) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,8
citrus paradisi (grapefruit) peel oil,Citrus Paradisi (Grapefruit) Peel Oil,Fragrance/masking agent,0,1,,0,0,,0,3
psoralea corylifolia (bakuchiol) seed oil,Psoralea Corylifolia (Bakuchiol) Seed Oil,Antioxidant / retinol-alternative active,1,1,,0,0,,0,1
prunus armeniaca (apricot) kernel oil,Prunus Armeniaca (Apricot) Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,11
melia azadirachta seed oil,Melia Azadirachta Seed Oil,Emollient / antimicrobial,1,1,,0,0,,0,2
jasminum sambac (jasmine) oil,Jasminum Sambac (Jasmine) Oil,Fragrance / aromatic agent,0,1,,0,0,,0,1
santalum spicatum (sandalwood) oil,Santalum Spicatum (Sandalwood) Oil,Fragrance/antioxidant,0,1,,0,0,,0,1
cananga odorata flower oil,Cananga Odorata Flower Oil,Fragrance/aromatic oil,0,1,,0,0,,0,12
rosa canina (rosehip) oil,Rosa Canina (Rosehip) Oil,Emollient / antioxidant oil,1,1,,0,0,,0,1
carthamus tinctorius (safflower) seed oil,Carthamus Tinctorius (Safflower) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,16
jasminum officinale flower oil,Jasminum Officinale Flower Oil,Fragrance/perfuming agent,0,1,,0,0,,0,1
citrus aurantium (neroli) oil,Citrus Aurantium (Neroli) Oil,Fragrance/aromatic,0,1,,0,0,,0,1
boswellia carteri (frankincense) oil,Boswellia Carteri (Frankincense) Oil,Soothing/fragrance botanical oil,0,1,,0,0,,0,1
helichrysum italicum (immortelle) flower oil,Helichrysum Italicum (Immortelle) Flower Oil,Antioxidant / soothing botanical oil,1,1,,0,0,,0,1
citrus limonium (lemon) oil,Citrus Limonium (Lemon) Oil,Fragrance/astringent,0,1,,0,0,,0,1
coconut oil,Coconut Oil,Emollient/occlusive moisturizer,0,1,4,0,0,,0,12
castor seed oil,Castor Seed Oil,Emollient / occlusive,0,1,,0,0,,0,0
red raspberry oil,Red Raspberry Oil,Emollient / antioxidant,0,1,,0,0,,0,0
avocado oil,Avocado Oil,Emollient / moisturizer,0,1,,0,0,,0,5
zea mays oil,Zea Mays Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,3
lanolin,Lanolin,Emollient/occlusive moisturizer,0,,4,0,0,,0,3
macadamia integrifolia seed oil,Macadamia Integrifolia Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,18
sodium lauryl sulfate,Sodium Lauryl Sulfate,Surfactant / cleansing agent,0,,5,0,0,,0,17
spearmint essential oil,Spearmint Essential Oil,Fragrance/aromatic agent,0,1,,1,0,,0,1
phenylethyl alcohol,Phenylethyl Alcohol,Preservative/fragrance,0,,,0,0,drying,0,1
helianthus annuus oil,Helianthus annuus oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
arachis hypogaea oil,Arachis Hypogaea Oil,Emollient/Skin-conditioning oil,0,1,,0,0,,0,3
glyceryl monostearate se,Glyceryl Monostearate Se,Emulsifier/emollient,0,1,,0,0,,0,2
nelumbo nucifera flower essential oil,Nelumbo Nucifera Flower Essential Oil,Fragrance/aromatic,0,1,,1,0,,0,1
oenocarpus bataua fruit oil,Oenocarpus Bataua Fruit Oil,Emollient / antioxidant-rich plant oil,0,1,,0,0,,0,0
jojoba seed oil,Jojoba Seed Oil,Emollient / occlusive,0,1,,0,0,,0,0
glyceryl behenate eicosadioate,Glyceryl Behenate/Eicosadioate,Emollient/emulsifier,0,1,,0,0,,0,1
babchi oil,Babchi Oil,Natural retinol alternative / antioxidant,1,1,,0,0,,0,0
glyceryl rosinate,Glyceryl Rosinate,Film former / binder,0,1,,0,0,,0,0
dimer dilinoleyl esters dimer dilinoleate copolymer,Dimer Dilinoleyl Esters Dimer Dilinoleate Copolymer,Emollient / film-forming agent,0,1,,0,0,,0,0
polyglyceryl 2 triisostearate,Polyglyceryl-2 Triisostearate,Emulsifier / emollient,0,1,,0,0,,0,3
vaccinium macrocarpon seed oil,Vaccinium Macrocarpon Seed Oil,Emollient/antioxidant oil,0,1,,0,0,,0,4
vanilla planifolia fruit essential oil,Vanilla Planifolia Fruit Essential Oil,Fragrance/antioxidant,0,1,,1,0,,0,0
lavandula angustifolia (lavender) flower oil,Lavandula Angustifolia (Lavender) Flower Oil,Fragrance/perfuming agent,0,1,,0,0,,0,4
farnesol,Farnesol,Fragrance ingredient / antimicrobial,0,,,1,1,,0,33
polyglyceryl 10 eicosanedioate tetradecanedioate,Polyglyceryl 10 Eicosanedioate Tetradecanedioate,Emulsifier/surfactant,0,1,,0,0,,0,0
citral,Citral,Fragrance/aroma ingredient,0,,,1,1,,0,89
anise alcohol,Anise Alcohol,Fragrance/masking ingredient,0,,,0,0,drying,0,5
benzyl benzoate,Benzyl Benzoate,Fragrance/Preservative/Solvent,0,,,1,1,,0,65
glycerol mono stearate,Glycerol mono stearate,Emulsifier / emollient,0,1,,0,0,,0,2
prunus dulcis (almond) oil,Prunus Dulcis (Almond) Oil,Emollient / skin conditioning oil,0,1,,0,0,,0,1
peg 150 distearate,PEG-150 Distearate,Thickener/emulsifier,0,1,,0,0,,0,22
c14 22 alcohol,C14-22 Alcohol,Emulsifier / co-emulsifier,0,,,0,0,drying,0,1
polyglyceryl 4,Polyglyceryl 4,Emulsifier/surfactant,0,1,,0,0,,0,0
sorbitan sesquioleate,Sorbitan Sesquioleate,Emulsifier / surfactant,0,1,,0,0,,0,13
oleyl alcohol,Oleyl Alcohol,Emollient / co-emulsifier,0,,,0,0,drying,0,3
lactobacillus ferment lysate,Lactobacillus Ferment Lysate,Probiotic-derived skin conditioning agent,1,1,,0,0,,0,23
glyceryl laurate,Glyceryl Laurate,Emulsifier / emollient / antimicrobial,0,1,,0,0,,0,20
benzyl salicylate,Benzyl Salicylate,Fragrance/UV-absorber,0,,,1,1,,0,82
cinnamic alcohol,Cinnamic Alcohol,Fragrance ingredient,0,,,0,0,drying,0,8
polyglyceryl 2 stearate,Polyglyceryl-2 Stearate,Emulsifier,0,1,,0,0,,0,22
kunkumadi oil,Kunkumadi Oil,Brightening/complexion oil,1,1,,0,0,,0,6
crocus sativus oil,Crocus Sativus Oil,Antioxidant/skin-conditioning,1,1,,0,0,,0,5
coumarin,Coumarin,Fragrance ingredient,0,,,1,1,,0,35
isoeugenol,Isoeugenol,Fragrance ingredient,0,,,1,1,,0,7
prunus armeniaca (apricot) peel oil,Prunus Armeniaca (Apricot) Peel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,4
triticum vulgare germ oil,Triticum Vulgare Germ Oil,Emollient / antioxidant,0,1,,0,0,,0,28
prunus armeniaca peel oil,Prunus Armeniaca Peel Oil,Emollient/Skin-conditioning oil,0,1,,0,0,,0,2
argania spinosa (argan) oil,Argania Spinosa (Argan) Oil,Emollient / moisturizing oil,0,1,,0,0,,0,1
polyglyceryl 6 caprylate,Polyglyceryl-6 Caprylate,Emulsifier / surfactant,0,1,,0,0,,0,11
polyglyceryl 4 caprate,Polyglyceryl-4 Caprate,Emulsifier / surfactant,0,1,,0,0,,0,15
cananga odorata macrophylla flower oil,Cananga Odorata Macrophylla Flower Oil,Fragrance/aromatic essential oil,0,1,,0,0,,0,1
sesamum indicum (sesame) seed oil,Sesamum Indicum (Sesame) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,16
vitis vinifera (grapeseed) oil,Vitis Vinifera (Grapeseed) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,5
glycerol monostearate,Glycerol Monostearate,Emulsifier / emollient,0,1,,0,0,,0,4
argan oil,Argan Oil,Emollient / moisturizer,0,1,1,0,0,,0,6
citronella oil,Citronella Oil,Fragrance/antimicrobial,0,1,,0,0,,0,1
yellow turmeric oil,Yellow Turmeric Oil,Antioxidant/brightening active,1,1,,0,0,,0,1
evening primrose oil,Evening Primrose Oil,Emollient / skin-conditioning oil,1,1,,0,0,,0,1
glyceryl mono stearate,Glyceryl Mono Stearate,Emulsifier / emollient,0,1,,0,0,,0,3
phenoxy ethanol,Phenoxy Ethanol,Preservative,0,,,0,0,drying,0,2
olive oil esters,Olive Oil Esters,Emollient / skin-conditioning agent,0,1,,0,0,,0,0
melaleuca alternafolia (tea tree) leaf oil,Melaleuca Alternafolia (Tea Tree) Leaf Oil,Antimicrobial/antiseptic,1,1,,0,0,,0,3
benzyl alcohol (and) ethylhexylglycerin (and) tocopherol,Benzyl Alcohol (And) Ethylhexylglycerin (And) Tocopherol,Preservative blend / antioxidant,0,,,0,0,drying,0,11
ifra certified allergen free fragrance,IFRA Certified Allergen Free Fragrance,Fragrance/masking agent,0,,,1,0,,0,31
murraya koenigii leaf oil,Murraya Koenigii Leaf Oil,Antioxidant / fragrance,0,1,,0,0,,0,0
hibiscus sabdariffa flower oil,Hibiscus Sabdariffa Flower Oil,Emollient / antioxidant,0,1,,0,0,,0,0
cupressus sempervirens oil,Cupressus Sempervirens Oil,Fragrance/essential oil,0,1,,0,0,,0,1
adansonia digitata oil,Adansonia Digitata Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,5
crocus sativus (kumkum) oil,Crocus sativus (Kumkum) Oil,Antioxidant / brightening botanical extract,1,1,,0,0,,0,1
sesamum indicum seed oil,Sesamum Indicum Seed Oil,Emollient/occlusive,0,1,,0,0,,0,17
polyglyceryl 2 oleate,Polyglyceryl-2 Oleate,Emulsifier,0,1,,0,0,,0,7
citrus aurantium amara oil,Citrus Aurantium Amara Oil,Fragrance/essential oil,0,1,,0,0,,0,1
onosma hispidum oil,Onosma hispidum oil,Hair growth & emollient oil,1,1,,0,0,,0,1
citrus limonum peel oil,Citrus Limonum Peel Oil,Fragrance/Botanical extract,0,1,,0,0,,0,1
cedrus deodara (cedarwood) wood oil,Cedrus Deodara (Cedarwood) Wood Oil,Fragrance/aromatic agent,0,1,,0,0,,0,1
lavandula officinalis (lavender) oil,Lavandula Officinalis (Lavender) Oil,"Fragrance/aromatic, antimicrobial",0,1,,0,0,,0,1
lavandula officinalis oil,Lavandula Officinalis Oil,Fragrance/essential oil,0,1,,0,0,,0,0
cedrus deodara wood oil,Cedrus Deodara Wood Oil,Fragrance/Antimicrobial,0,1,,0,0,,0,0
jasminum oil,Jasminum Oil,Fragrance/aromatic,0,1,,0,0,,0,1
oryza sativa (rice bran) oil,Oryza Sativa (Rice Bran) Oil,Emollient / antioxidant,0,1,,0,0,,0,1
calendula silvestre (calendula) flower oil,Calendula Silvestre (Calendula) Flower Oil,Soothing/emollient botanical oil,0,1,,0,0,,0,1
calendula flower oil,Calendula flower oil,Soothing emollient,0,1,,0,0,,0,1
glycerol monooleate,Glycerol monooleate,Emollient/emulsifier,0,1,,0,0,,0,2
citrus aurantium amara flower oil,Citrus Aurantium Amara Flower Oil,Fragrance/aromatic,0,1,,0,0,,0,3
azadirachta indica seed oil,Azadirachta Indica Seed Oil,Emollient / antimicrobial,1,1,,0,0,,0,2
curcuma longa root oil,Curcuma Longa Root Oil,Antioxidant / anti-inflammatory,1,1,,0,0,,0,1
ocimum sanctum oil,Ocimum Sanctum Oil,Antimicrobial/antioxidant botanical oil,1,1,,0,0,,0,1
cinnamomum zeylanicum bark oil,Cinnamomum Zeylanicum Bark Oil,Fragrance/antimicrobial,0,1,,0,0,,0,3
coco capryate caprate,Coco Capryate Caprate,Emollient,0,1,,0,0,,0,0
glyceryl monooleate,Glyceryl Monooleate,Emulsifier / emollient,0,1,,0,0,,0,0
citrus limonum oil,Citrus limonum oil,Fragrance / antioxidant,0,1,,0,0,,0,1
citrus grandis seed oil,Citrus Grandis Seed Oil,Emollient/skin-conditioning oil,0,1,,0,0,,0,0
vitis vinifera oil,Vitis vinifera oil,Emollient/antioxidant,0,1,,0,0,,0,2
avena sativa kernel oil,Avena Sativa Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
melaleuca alternifolia (tea tree) leaf oil,Melaleuca Alternifolia (Tea Tree) Leaf Oil,Antimicrobial/antiseptic,1,1,,0,0,,0,18
juniperus communis fruit oil,Juniperus Communis Fruit Oil,Fragrance/Astringent,0,1,,0,0,,0,1
vetiveria zizanoides root oil,Vetiveria Zizanoides Root Oil,Fragrance/Aromatic,0,1,,0,0,,0,13
schinus molle (pink pepper) fruit oil,Schinus Molle (Pink Pepper) Fruit Oil,Fragrance/antioxidant,0,1,,0,0,,0,2
sodium peg 7 olive oil carboxylate,Sodium PEG-7 Olive Oil Carboxylate,Surfactant/emulsifier (cleansing agent),0,1,,0,0,,0,11
sucrose distearate,Sucrose Distearate,Emulsifier / surfactant,0,1,,0,0,,0,16
sclerocarya birrea (marula) seed oil,Sclerocarya Birrea (Marula) Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,5
elaeis guineensis (palm) oil,Elaeis Guineensis (Palm) Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,10
polyglyceryl 10 oleate,Polyglyceryl-10 Oleate,Emulsifier/surfactant,0,1,,0,0,,0,21
polyglyceryl 3 ricinoleate,Polyglyceryl-3 Ricinoleate,Emulsifier/surfactant,0,1,,0,0,,0,2
rubus idaeus seed oil,Rubus Idaeus Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,11
melaleuca alterniflora oil,Melaleuca Alterniflora Oil,Antimicrobial/antiseptic essential oil,1,1,,0,0,,0,0
ficus carica seed oil,Ficus Carica Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,0
ceto stearyl alcohol,Ceto Stearyl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,4
"myristic acid, glycerin, aqua, potassium hydroxide, propylene glycol, stearic acid, decyl glucoside, lauric acid, glycol distearate, cocamidopropyl betaine, xylitol, glucose, anhydroxylitol, phoenix dactylifera (date palm) extract, kojic acid dipalmitate, niacinamide, sodium pca, glyceryl stearate, phenoxyethanol, polyquaternium 7, titanium dioxide, sodium metabisulfite, butylated hydroxytoluene, vitamin e, pentaerythrityl tetra di t butyl hydroxyhydrocinnamate, disodium edta, glyceryl glucoside, alpha arbutin, purified water, kojic acid, propandiol, curcuma longa (turmeric) root extract, phenoxyethanol","Myristic Acid, Glycerin, Aqua, Potassium Hydroxide, Propylene Glycol, Stearic Acid, Decyl Glucoside, Lauric Acid, Glycol Distearate, Cocamidopropyl Betaine, Xylitol, Glucose, Anhydroxylitol, Phoenix Dactylifera (Date Palm) Extract, Kojic Acid Dipalmitate, Niacinamide, Sodium Pca, Glyceryl Stearate, Phenoxyethanol, Polyquaternium 7, Titanium Dioxide, Sodium Metabisulfite, Butylated Hydroxytoluene, Vitamin E, Pentaerythrityl Tetra Di T Butyl Hydroxyhydrocinnamate, Disodium Edta, Glyceryl Glucoside, Alpha Arbutin, Purified Water, Kojic Acid, Propandiol, Curcuma Longa (Turmeric) Root Extract, Phenoxyethanol",Brightening cleanser/wash blend,1,1,,0,0,,1,0
alcohol denat,Alcohol Denat,Solvent/penetration enhancer,0,,,0,0,drying,0,77
pelargonium roseum (rose geranium) leaf oil,Pelargonium Roseum (Rose Geranium) Leaf Oil,Fragrance/essential oil,0,1,,0,0,,0,2
pelargonium graveolens (rose geranium) flower oil,Pelargonium Graveolens (Rose Geranium) Flower Oil,Fragrance / aromatic essential oil,0,1,,0,0,,0,3
leptospermum scoparium oil,Leptospermum Scoparium Oil,Antimicrobial / soothing botanical oil,1,1,,0,0,,0,1
corylus avellana (hazelnut) seed oil,Corylus Avellana (Hazelnut) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,6
sorbeth 30 tetraoleate,Sorbeth-30 Tetraoleate,Emollient/emulsifier,0,1,,0,0,,0,4
rosehip oil,Rosehip Oil,Emollient / antioxidant oil,1,1,1,0,0,,0,3
saccharomyces ferment filtrate,Saccharomyces Ferment Filtrate,Conditioning/soothing ferment extract,1,1,,0,0,,0,6
saccharomyces ferment,Saccharomyces Ferment,Skin-conditioning / fermentation-derived bioactive,1,1,,0,0,,0,14
bacillus coagulans ferment,Bacillus Coagulans Ferment,Probiotic-derived ferment / skin-conditioning agent,1,1,,0,0,,0,1
polyglyceryl 3 methylglucose distearate,Polyglyceryl-3 Methylglucose Distearate,Emulsifier,0,1,,0,0,,0,39
lignoceryl alcohol,Lignoceryl Alcohol,Emollient / co-emulsifier,0,,,0,0,drying,0,3
hexyl laurate,Hexyl Laurate,Emollient / skin-conditioning ester,0,1,,0,0,,0,5
limnanthes alba (meadowfoam) seed oil,Limnanthes Alba (Meadowfoam) Seed Oil,Emollient / occlusive,0,1,,0,0,,0,25
ethyl alcohol,Ethyl Alcohol,Solvent / Antimicrobial,0,,,0,0,drying,0,8
phthalate free fragrance,Phthalate Free Fragrance,Fragrance/scent,0,,,1,0,,0,1
psoraleae corylifolia seed oil,Psoraleae Corylifolia Seed Oil,Bioactive plant extract (antimicrobial/antioxidant),1,1,,0,0,,0,0
nigella sativa (black seed) oil,Nigella Sativa (Black Seed) Oil,Emollient / antioxidant,1,1,,0,0,,0,0
cucurbita pepo (pumpkin) seed oil,Cucurbita Pepo (Pumpkin) Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,0
lavender oil,Lavender Oil,Fragrance / aromatic additive,0,1,,0,0,,0,1
polyglyceryl 6 pentaoleate,Polyglyceryl 6 Pentaoleate,Emulsifier / emollient,0,1,,0,0,,0,0
alfa arbutin,Alfa Arbutin,Skin-brightening agent,1,,,0,0,,1,5
citrus medica peel oil,Citrus Medica Peel Oil,Fragrance / botanical extract,0,1,,0,0,,0,0
jasminum officinale oil,Jasminum Officinale Oil,Fragrance/Aromatic,0,1,,0,0,,0,2
vaccinium macrocarpon (cranberry) seed oil,Vaccinium Macrocarpon (Cranberry) Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,2
tanacetum annuum oil,Tanacetum Annuum Oil,Soothing/anti-inflammatory essential oil,1,1,,0,0,,0,1
lavandula angustifolia flower oil,Lavandula Angustifolia Flower Oil,Fragrance/essential oil,0,1,,0,0,,0,0
schinus molle fruit oil,Schinus Molle Fruit Oil,Fragrance/skin-conditioning oil,0,1,,0,0,,0,2
salvia officinalis leaf oil,Salvia Officinalis Leaf Oil,Fragrance/antimicrobial,0,1,,0,0,,0,1
rosmarinus officinalis (rosemary) oil,Rosmarinus Officinalis (Rosemary) Oil,Antioxidant / fragrance / antimicrobial,0,1,,0,0,,0,0
melia azadirachta (neem) oil,Melia Azadirachta (Neem) Oil,Antimicrobial/emollient botanical oil,1,1,,0,0,,0,1
citrus aurantium oil,Citrus Aurantium Oil,Fragrance/essential oil,0,1,,0,0,,0,1
triticum aestivum germ oil,Triticum Aestivum Germ Oil,Emollient / antioxidant,0,1,,0,0,,0,2
hippophae rhamnoides (sea buckthorn) fruit oil,Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil,Antioxidant emollient,1,1,,0,0,,0,0
palmitic acid,Palmitic Acid,Emollient / surfactant,0,1,,0,0,,0,105
glyceryl stearate citrate,Glyceryl Stearate Citrate,Emulsifier / co-emulsifier,0,1,,0,0,,0,56
sorbitan laurate,Sorbitan Laurate,Emulsifier / surfactant,0,1,,0,0,,0,22
glycine soja oil,Glycine Soja Oil,Emollient / antioxidant,0,1,3,0,0,,0,24
hexyl cinnamal,Hexyl Cinnamal,Fragrance ingredient,0,,,1,1,,0,87
polyglyceryl 10 laurate,Polyglyceryl-10 Laurate,Emulsifier / surfactant,0,1,,0,0,,0,47
polyglyceryl 10 stearate,Polyglyceryl-10 Stearate,Emulsifier,0,1,,0,0,,0,30
methyl glucose sesquistearate,Methyl Glucose Sesquistearate,Emulsifier / emollient,0,1,,0,0,,0,27
retinal,Retinal,Retinoid (vitamin A derivative),1,,,0,0,,1,12
citrus aurantium bergamia peel oil,Citrus Aurantium Bergamia Peel Oil,Fragrance/essential oil,0,1,,0,0,,0,7
polyglyceryl 4 oleate,Polyglyceryl-4 Oleate,Emulsifier / surfactant,0,1,,0,0,,0,12
leuconostoc radish root ferment filtrate,Leuconostoc/Radish Root Ferment Filtrate,Natural preservative,0,1,,0,0,,0,30
sorbitan isostearate,Sorbitan Isostearate,Emulsifier / surfactant,0,1,,0,0,,0,62
essential oil,Essential Oil,Fragrance/botanical additive,0,1,,1,0,,0,7
sucrose dilaurate,Sucrose Dilaurate,Emulsifier / surfactant,0,1,,0,0,,0,10
t butyl alcohol,T-Butyl Alcohol,Solvent/denaturant,0,,,0,0,drying,0,17
alpha isomethyl ionone,Alpha-Isomethyl Ionone,Fragrance ingredient,0,,,1,1,,0,74
polyglyceryl 3 diisostearate,Polyglyceryl-3 Diisostearate,Emulsifier,0,1,,0,0,,0,12
citrus aurantium bergamia (bergamot) fruit oil,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,Fragrance/essential oil,0,1,,0,0,,0,16
citrus limon (lemon) peel oil,Citrus Limon (Lemon) Peel Oil,Fragrance/astringent,0,1,,0,0,,0,11
polianthes tuberosa flower oil,Polianthes Tuberosa Flower Oil,Fragrance/aromatic,0,1,,0,0,,0,4
eugenia caryophyllus leaf oil,Eugenia Caryophyllus Leaf Oil,Fragrance/antimicrobial,0,1,,0,0,,0,5
peg 30 dipolyhydroxystearate,PEG-30 Dipolyhydroxystearate,Emulsifier,0,1,,0,0,,0,18
isocetyl stearoyl stearate,Isocetyl Stearoyl Stearate,Emollient/skin-conditioning agent,0,1,,0,0,,0,10
ethylhexyl hydroxystearate,Ethylhexyl Hydroxystearate,Emollient/ester,0,1,,0,0,,0,9
essential oil blend,Essential Oil Blend,Fragrance/botanical additive,0,1,,1,0,,0,7
butylphenyl methylpropional,Butylphenyl Methylpropional,Fragrance/synthetic fragrance ingredient,0,,,1,1,,0,25
bacillus soybean ferment extract,Bacillus/Soybean Ferment Extract,Skin conditioning / moisturizing humectant,1,1,,0,0,,0,11
sucrose palmitate,Sucrose Palmitate,Emulsifier / Emollient,0,1,,0,0,,0,8
sorbitan oleate,Sorbitan Oleate,Emulsifier / surfactant,0,1,,0,0,,0,22
hydrogenated rapeseed oil,Hydrogenated Rapeseed Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,16
thermus thermophillus ferment,Thermus Thermophillus Ferment,Antioxidant / protective ferment extract,1,1,,0,0,,0,8
bertholletia excelsa seed oil,Bertholletia Excelsa Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,6
peg 75 stearate,PEG-75 Stearate,Emulsifier/surfactant,0,1,,0,0,,0,7
laureth 4,Laureth-4,Surfactant/emulsifier,0,,5,0,0,,0,11
juniperus mexicana oil,Juniperus Mexicana Oil,Fragrance/essential oil,0,1,,0,0,,0,4
prunus persica kernel oil,Prunus Persica Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,8
ferment extract,Ferment Extract,Conditioning/soothing,1,1,,0,0,,0,6
pseudoalteromonas ferment extract,Pseudoalteromonas Ferment Extract,Skin-conditioning / hydrating active,1,1,,0,0,,0,5
